Anime Title,Timestamp,Gigguk Excited?
Princess Connect! Re:Dive (Sponsor),0:01,N/A (Sponsor)
World's End Harem,0:59,No (Mostly joking)
Dolls' Frontline,1:44,Neutral/Mildly Positive
The Rising of the Shield Hero (Season 2 implied),2:31,No (Dismissive joke)
The Case Study of Vanitas (Season 2),2:33,Neutral (Joke)
Teasing Master Takagi-san (Season 3),2:43,Neutral (Listed)
Princess Connect! Re:Dive (Season 2),2:43,Neutral (Listed)
How a Realist Hero Rebuilt the Kingdom (Part 2),2:44,Yes (Cautiously Positive)
Demon Slayer: Kimetsu no Yaiba (Entertainment District Arc),2:58,Yes (Praises animation)
Slow Loop,3:10,Neutral/Mildly Positive
Akebi's Sailor Uniform,3:17,Very Yes (Visually)
She Professed Herself Pupil of the Wise Man,3:47,Neutral
In the Land of Leadale,3:55,Mildly Positive (Comfy)
The Genius Prince's Guide to Raising a Nation Out of Debt,4:06,Yes
Life with an Ordinary Guy Who Reincarnated into a Total Fantasy Knockout,4:25,Yes (Amused/Intrigued)
Sasaki and Miyano,4:51,Yes (Positive)
Tokyo 24th Ward,5:09,Cautious/Neutral
Sabikui Bisco,5:32,Very Yes (Must Watch)
Police in a Pod,6:06,Yes (Positive/Comfy)
The Strongest Sage with the Weakest Crest,6:19,No (Very Negative)
My Dress-Up Darling,6:35,Very Yes (Highest Praise)
